Book ID,Book Name,Admin Type,Province,County,Address,Dynasty,Period,Edition,Volume,Author,Source,Book Year,Edition Year,TimeSpan:begin,TimeSpan:end,Longitude,Latitude,Page,Section Name,Content
"3249","元江志","0","玉溪地區","NULL","(民國)元江志稿三十卷卷首一卷卷末一卷 ","民國","民國","","稿三十卷卷首一卷卷末一卷","","eastview","0","0","0","0","0","0","1362994","1-軍事","元江志稿 卷十二 武備志二　軍事　　　　　九 ━ 新平縣志 明天啓四年八月新化新平賊首魯魁魯克等伏箐 略地方巡撫閔洪學檄分守副使胡其　遊擊劉崇禮搜捕俘 斬餘黨悉平立十二哨於其地戍之 陳鼎滇黔紀遊 元江武定之間有魯葵山方千里民皆蓄髮刼 掠流毒官兵不能制地險絕鴻荒以來未見天日過此則銀場 在焉富甲於江浙 按魯葵 卽魯魁 安效良之變　 滇海虞衡志 天啓間安效良叛攻馬龍巡撫王佐 調景東土兵統象隊逆戰一象奮勇衝陣土兵乘之大破蠻兵 象歸營猶氣勃勃始斃箭鏃滿身王佐爲立碑建坊葬之馬龍 北關外表曰忠勇義象 淸代之軍事 明淸過渡之兵事　 舊州志 順治十六年大師平滇土酋那嵩與 僞總兵高應鳳許名臣暗通李定國叛官兵討平之 新平縣志 順治十六年元江土酋那嵩起兵應永曆帝 續通志輯覽 永暦帝之走永昌也道過元江土知府那嵩與其 子燾迎謁供俸甚謹設宴皆用銀器宴畢悉以獻曰此行上供 者少聊以佐缺乏耳永暦帝旣走緬甸李定國不敢深入聞白 文選在木邦就之謀與文選計不合定國乃引兵自孟定過耿 馬抵緬孟艮不附定國移兵滅之據其地遣使號召諸土司兵 嵩亦於沅江起兵應之淸兵追討城破嵩登樓自焚合家皆死 "
"3954","新繁縣志","0","溫江地區","NULL","(同治)新繁縣志十六卷卷首一卷 ","清","同治","","十六卷卷首一卷","","eastview","0","0","0","0","0","0","1615559","1-雜著","新繁縣志　 卷十五 藝文雜著 　　五十七 見重於臨卭遂致延於臯座腹寒武庫徒爲絳帳之陳 學愧文翁乃樹靑雲之幟然而識途老馬曾經雪嶺千 重掉臂專城猶剩婆心一片所願諸生最上立德其次 立言穩定腳跟看送我者之自崖返步放開眼界如登 山者之決眦入雲升史漢之堂而抉其精後來居上攦 工倕之指而有其巧靑出於藍厯一層更有一層忙如 夸父追日進幾步纔算幾步快著祖逖先鞭匡大夫之 謝値傭書貧猶可學蘇季子之引錐刺股苦亦堪嘗冀 聽講於游魚期點頭於頑石幸爲囊錐之處莫干鳴鼓 之攻有志事竟成蓬室能儲國士器苦心天不負菜羹 亦現狀元身 黃華碑考　　　　　　　　 知縣 張文珍 老人姓王名庭筠字子端河東人也善詩詞金大定十 六年進士負文學盛名召試館職中選爲臺臣所阻乃 卜居彰德買田隆慮讀書黃華山寺因以爲號平生嗜 古法書多所鑒定有雪溪堂帖傳世又陳鼎滇黔紀遊 云老人石刻在大理崇聖寺字大如碗筆法飛舞相傳 以檳榔殻蘸墨書者老人爲宋元閒人自江石來往久 "
"3131","永寕州志","0","安順地區","NULL","(道光)永寕州志十二卷卷首一卷","清","道光","","十二卷卷首一卷","","eastview","0","0","0","0","0","0","1326468","1-考","𣱵𡨴州志 卷十一 藝文上 　　　　　　 十二 江其上流卽貴州可渡河流入州境又東南流貴州 安南衞羅平州東南有盤江下流貴州募役司通志 云盤江源出烏撒可渡河可渡河東南流迤西木東 汛有花魚洞水西來注之又南至龍塲汛有水自曲 靖府界流來注之又南至安南縣東北有落白河自 曲靖府界東流注之陳鼎滇黔紀遊云盤江源出烏 撒苗境深山中冬日水涸始見其泉凡七十七處俱 臨於一溪遶曲靖府經畢節而注於安南觀此則黔 盤江之上流可見矣考黔盤江之下流通志云盤江 水又南至九盤山迤東至花江汛南有白水河得𣱵 𡨴州之關嶺㶚陵橋水南流至鎭𡨴西而南合菜子 河水至𡨴谷司又南合𣱵豐州西北之打罕河南來 注之又有拖長江自普安州沙泥巖東南流來注之 又有卜者河軟橋河板橋河東南流注之又南籠府 有都城河自安南縣界得江西坡水至髙武汛西合 馬畢河南流合魯溝河過普市合大坡哨水東過府 南界而東流注之又南至𣱵豐州西南而東南過泗 城府入於粵達於海明史云泗城州西有南盤江自 "
"4049","沅州府志","0","黔陽地區","NULL","(同治)沅州府志四十卷卷首一卷","清","同治","","四十卷卷首一卷","","eastview","0","0","0","0","0","0","1659500","1-拾遺","沅州府志 卷之四十 拾遺 　　　　　十一 興隆衞卽古牂牁郡今省入黃平州歴三十里渡重 安江江之上流接新添衞諸山之水合平越葛鏡橋 麻哈江下入古州八萬經生苗地二千餘里達黔陽 合大溪趨洞庭以入大江者也 陳鼎滇 黔紀遊 麻陽江口有桐坡寨又名老屋冲其山多桐樹常有 雲覆其上雲向外飛則天晴內飛則天雨人以此爲 晴雨之驗 麻陽 縣志 張扶翼紀異錄段生珖遠字公亨黔陽子弟鄕人余 初涖黔時所首拔士也行篤而文優生二子長正宸 次正栻順治己丑邑爲亂兵所據賊獲生將死之正 栻從山上呼賊緩父死卽趨賊以代父賊義之釋其 父並予之衣與鹽後正宸死正栻有子而幼生負往 宅後廟中與之嬉由宅至廟可三里許日過午負孫 歸途次見正宸自後至代生負竟不知其已死與之 孫負以隨比至宅後正宸以所負兒還付生生驚悟 忽不見生篤行君子也爲余言如是余曰嗟呼是何 君兒之多孝子也正栻不難捐其生以免父之死止 宸且忘其身之死以代父之負父子兄弟祖孫依依 "
"3187","浪穹縣志","0","大理白族自治州","NULL","(光緒)浪穹縣志略十三卷","清","光緒","","略十三卷","","eastview","0","0","0","0","0","0","1347097","1-物産","浪穹縣志畧　 卷二　　　　　　　卅三 黑竹　 ︹ 師範滇繫 ︺ 出浪穹色黑可爲簫管 仙人掌　 ︹ 舊志 ︺ 有高丈許大數圍成木本者師範滇繫 葉肥厚如掌多刺相接成枝花名玉英色紅黃實似 小瓜可食 雲香韭　 ︹ 舊志 ︺ 産羅坪山 ︹ 一統志 ︺ 一名五葉芸香能治 瘴毒入夷方者携之如嚼此草無味便知中毒服其 汁吐之自解一名韭葉雲香能治瘴瘧 薄荷　 ︹ 舊雲南通志 ︺ 大理浪穹者佳 ︹ 滇南本草 ︺ 滇南火 地所産不同老人常服髮白轉黑 連翹　 ︹ 舊志 ︺ 縣屬産 ︹ 陳鼎滇黔紀游 ︺ 洱海連翹花遍於 籬落黃色可觀 木札鳥　 ︹ 樊綽蠻書 ︺ 西洱河及昆池之南接滇池冬月 魚雁鴨蚌雉水札鳥遍於野中水際 ︹ 舊志 ︺ 其血能治 小兒痞疾 白鷴　 ︹ 舊志 ︺ 一名拖白練 ︹ 秋坪新語 ︺ 白鷴狀類家雞秃 首小而銳毛色微黃如乳鵝飮水啄粒無異常畜及 長長頸修翎烏喙丹趾首翹朱冠目熒金彈徧身白 質鮮潔如雪而黑章作水縐紋蹴縮然尾長數尺若 曳匹練墨紋層曡宛如微波因風而瀠洄鳴則喌喌 如索鬥狀時飛鳴於巨樹暮則棲樹杪不去 "
"3308","滇繹四卷","0","雲南","NULL","滇繹四卷","未確定","未確定","","","","eastview","0","0","0","0","0","0","1377078","1-古佛國","古佛國 陳鼎滇黔紀游言滇西爲古佛國名山多見於佛經如賓川雞足山鼎謂佛大弟子摩 訶迦葉釋迦衣鉢入定於此雖有附會不盡誣也大唐西域記屈屈叱播陀山唐言雞 足山也後漢郡國志揲楡縣注俗言鳳凰死山衆鳥來弔雲南縣注有山特高大狀如 扶風太一明一統志香岩在點蒼山中峯之半香從空中來世傳釋迦苦行地也吳梅 村詩洱水與蒼山佛敎之齊魯 "
"3221","石屏州志","0","紅河哈尼族彝族自治州","NULL","(乾隆)石屏州志八卷","清","乾隆","","八卷","","eastview","0","0","0","0","0","0","1354942","1-雜紀","石屏州志　 卷八 雜紀 　　　　　　十六 ━ 縳牛尾 山村中有牛尾上樹之痾謂虎魄 倒縳牛尾事甚奇何其偀親見之 盧鹿㸑 卽玀玀音訛耳玀俗二月丑日祭龍六月二十四日爲 年凡三五年新易祖位爲換祖病不信醫信巫剪紙招 魂宰豕以松火燎之切生肉爲小臠合蔬蒜雜食之謂 之火宰交易不用書契削木片刻以紀數剖之各執半 謂之木刻通漢人文字者謂之白馬其字以横行卜用 雞骨甚靈以草爲囊繫臂間納需用小物其中謂之剖 費童男女竹𥰓成聲和歌相誘謂之響𥰓鄕勇以靑布 纒頭如斗大上戴以皮盔以綿爲甲以鏢刺人伏草間 殺人謂之坐草屏中彛人有土獠山蘇倭泥蒲 喇僰夷其俗大約相似惟土獠以十月朔爲年 魂　化 僰夷臥於家尸魂化猫犬之類害人家 嬰兒知者執而痛撻之卽現眞形乞命 刴生叫魂 凡夷人會飮切生肉雜野蔬與蒜食之謂之刴生人 偶有病合飯一盂雞子一枚以病者之衣包裹門外 招之謂 之叫魂 夷　性 玀好山僰好水玀形黑而悍僰形晳而孱卽古黑白㸑 二種也與人不相能以藥陰入飮食中久而後發非彼 藥療之至 死不救 祀　龍 夷人多祀龍神繪像騎五色龍剪𥿄爲旐始事時 村巫通夕歌舞謂之招兵漢民惑之今已遵禁 木　枷 江陰陳鼎滇黔紀遊載滇㸑負貨物頂戴木枷相 傳武侯設此以别漢夷貴賤非也殆便負戴耳 扁　米 五郞溝僰人當糯穀方實時採其穉者 焙而舂之色碧而軟美且芳謂之扁米 耕　作 夷民不習紡織男女皆刀耕火種力作最苦耕用二牛 前挽中壓後驅平地種豆麥山地種荍稗服食儉約俗 尚古 樸 婚　姻 夷人求婚請人至女家致辭讌酒卽爲允諾以尺 帛銀飾爲定娶後仍歸母家俟生有子始回夫家 咂　酒 俗以膏粱大麥釀酒凡宴待賓客先設架置酒壜於上 貯以凉水揷竿於內客至主人先咂以示先嘗之意客 次之咂時盛水候咂畢而注於壜視水之盈縮以驗所 飮之多寡不及則請再行冬月置火於壜下取其熱也 歌　曲 夷人各種皆有歌曲跳躍歌舞樂工稱細樂筝笛琵琶 諸器與漢制同其調亦有寄生草叨叨令一封書等名 "
"3128","興義府志","0","興義地區","NULL","(咸豐)興義府志七十四卷卷首一卷續編二卷","清","咸豐","","七十四卷卷首一卷續編二卷","","eastview","0","0","0","0","0","0","1324169","1-引用書目","興義府志 卷首 引用書目　　　十八 　 貴陽文通書局代印 崇禎歷 明徐光啓 　　　　　歷算全書 梅文鼎 天元歷理 徐發 　　　　　　天皇會通 古經天象考 雷學淇 　　　　黔中分野圖 山海經 夏伯益 　　　　　　南中志 地道記 晉王隱 　　　　　　華陽國志 晉常璩 太康地志 晉杜預 　　　　　道里記 隋蔡允恭 括地志 唐蕭德言 　　　　　十道志 唐梁載言 元和郡縣志 唐李吉甫 　　　海內華夷圖 唐賈耽 山河兩戒考 唐一行 　　　　寰宇記 宋樂史 九域志 宋王存 　　　　　　地域指掌圖 宋稅安禮 元一統志 元岳　 　　　　　天下地圖 元朱思本 明一統志 明李賢 　　　　　廣輿圖 明羅玘 方輿志　　　　　　　　　徐霞客遊記 明徐宏祖 黔記 明郭子章 　　　　　　明貴州通志 明沈思充 明修貴州通志 明謝東山 　　明普安州志 明沈勗 明修普安州志 明婁廣 　　　明安南衞志 皇朝職貢圖 傅恒 　　　　　皇朝一統圖 李兆洛 皇輿表　　　　　　　　　天下郡國利病書 顧炎武 讀史方輿紀要 顧祖禹 　　　地理今釋 滇黔紀遊 陳鼎 　　　　　　黔書 田雯 康熈貴州通志 衞旣齊 　　　普安州志 安南縣志 曾紀常 　　　　　南籠府志 李其昌 "
"3128","興義府志","0","興義地區","NULL","(咸豐)興義府志七十四卷卷首一卷續編二卷","清","咸豐","","七十四卷卷首一卷續編二卷","","eastview","0","0","0","0","0","0","1324520","1-水道","興義府志 卷十二 水道　　　　十一 　 貴陽文通書局代印 卽此也 。 考黔盤江上流 。 明史云 。 烏撒府西 。 有盤江 。 出府西亂山中 。 經府南爲可渡河 。 入畢節衛界 。 曲靖府北 。 有白石江流 。 合城南之 瀟湘江 。 又東南 。 合左小江 。 亦謂之南盤江 。 下流環雲南澂江廣西 三府之境 。 至羅平州 。 入貴州界 。 霑益州北 。 有北盤江 。 其上流卽貴 州可渡河 。 流入州境 。 又東南流 。 貴州安南衞 。 羅平州東南 。 有盤江 。 下流貴州募役司 。 通志云 。 盤江 。 源出烏撒可渡河 。 可渡河東南流 。 迤西木東汎 。 有花魚洞水西來注之 。 又南至龍塲汛 。 有水自曲靖 府界流來注之 。 又南至安南縣東北 。 有落白河 。 自曲靖府界東流 注之 。 陳鼎滇黔紀遊云 。 盤江 。 源出烏撒苗境 。 深山中 。 冬月水涸 。 始 見 。 其泉凡七十七處 。 俱臨於一溪 。 遶曲靖府 。 經畢節而注於安南 。 觀此則黔盤江之上流可見矣 。 考黔盤江之下流 。 通志云 。 盤江水 。 又南至九盤山 。 迤東至花江汎 。 南有白水河 。 得永甯州之關嶺灞 陵橋水 。 南流至鎭甯西 。 而南合菜子河水 。 至甯谷司 。 又南合永豐 州西北之打罕河 。 南來注之 。 又有拖長江 。 自普安州沙泥巖 。 東南 流來注之 。 又有卜者河 。 軟橋河 。 板橋河 、 東南流注之 。 又南籠府有 都城河 。 自安南縣界 。 得江西坡水 。 至高武汛 。 西合馬畢河 。 南流合 魯溝河 。 過普市 。 合大坡哨水 。 東過府南界 。 而東流注之 。 又南至永 豐州西南 。 而東南過泗城府 。 入於粤 。 達於海 。 明史云 。 泗城州西 。 有 南盤江 。 自貴州募役司 。 流入下流 。 爲南甯府之左江 。 南甯府之宣 化州西南 。 有大江 。 其上有二 。 一爲南盤江 。 經府城南 。 曰右江 。 觀此 則黔盤江之下流可知矣 。 明史云 。 安順府西南 。 有北盤江 。 自雲南 霑益州流入 、 永甯州西 。 有北盤江 。 自普安州流入募役司東 。 有北 "
"3622","裏塘志","0","甘孜藏族自治州","NULL","(嘉慶)裏塘志略二卷","清","嘉慶","","略二卷","","eastview","0","0","0","0","0","0","1510103","1-雜記","裡塘志畧 卷下　　　　　　　　二十 石爲樓此爲碉樓之始以余所見向之石樓尙有在 者今明正司之臥龍中谷裡塘土司之上俄洛兩八 角樓翼然是卽武侯遺蹟歟 陳鼎滇黔紀遊云金沙兩岸皆白沙佛書所謂恒河 卽此也上流卽狗頭國昔年大水漂一狗頭人至岸 上下衣服同中國口耳眉目皆狗也逾日得土氣狗 人復生問其言答之如狗吠與之飮食□嚼也土官 解來大理軍門府因得寓目後軍門命土官解還原 處解人行一百二十餘日始抵其國國中無城郭國 王朱冠皂履𨂍白馬佩刀官吏皆如之飮食起居中 國同也婚嫁則非云云似實有其國矣然攷金沙江 上流在西域喀木地其源出惡洛木拜圖流入木魯 烏蘇等處經巴塘入裡塘界之勺朱鄉城復出巴塘 界之崩子勒入雲南之麗江府界其所經厯地卽今 西寧出口至西藏草地以及叠爾格三瞻對等處 處番民　　　　　　常人無所謂狗頭國也陳氏 "
